Search,Search Count,Last Search Date
"folder: NTA INDEX EFEM",1,134031662109908485
"NTA INDEX EFE",1,134031661656164730
"""::{26EE0668-A00A-44D7-9371-BEB064C98683}\0\::{9C73F5E5-7AE7-4E32-A8E8-8D23B85255BF}\::{750FDF10-2A26-11D1-A3EA-080036587F03}\"" ",1,134031628222292834
"path:""C:\Users\Doyun\Documents\카카오톡 받은 파일"" depth:<=5 PICO",1,134031514625443918
"PICO",1,134031514359797113
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=1 KCTECH NTA",1,134031498869956395
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=1 NTA",1,134031498717405429
"folder: ""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=4 lse",1,134031469324364481
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=1 S250567 LSE SI #80",1,134031469034640051
"S250567 LSE SI #80",1,134030881812971160
"S250929",1,134030837926847086
"""\\192.168.0.25\A0000_Company\AE000_품질경영\품질시스템 폴더\08. 공정 관리 (함경철, 이무연, 박동환)\8-3 System ( 매뉴얼 관리 )\제어"" LSE SI",1,134030814910970024
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=1 FLIP",1,134030774737876064
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=1 D-FLIP",1,134030773642491371
"WTR1",1,134030760001276412
"backup-250923(114032) ",1,134030759955066754
"LSE SI #80",1,134030754267827289
"""\\Rnd2000-server\C0000_Project\CF000_프로젝트이력"" S250567",1,134030677685983531
"1.1.35_MJ",1,134030604185369072
"""C:\Users\Doyun\AppData\Local\Programs\Microsoft VS Code\resources\app\extensions\vb"" syntaxes",1,134029980742078002
"extensions\vb",1,134029980161599911
"LSE SC 26",1,134029790176215558
"LSE SC",1,134029787805978849
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=1 1",1,134029772615594441
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=1 NEXTIN 3p",1,134027450458318906
"hycera",1,134027425813732270
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=1 넥스틴",1,134027420034755376
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=1 nextin WTR",1,134027413993576879
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=1 nextin scara 3",1,134027413278444702
"""\\Rnd2000-server\C0000_Project\CF000_프로젝트이력"" S250964",1,134027412565385843
"wis",1,134026535210579182
"""C:\Users\Doyun\Documents\업무 관련\프로그램\SubnetSyncer\SSbackup"" KCTECH",1,134026484757686349
"""C:\Users\Doyun\Documents\업무 관련\프로그램\SubnetSyncer\SSbackup"" wisf",1,134026479054270401
"folder: ""C:\Users\Doyun\Documents\업무 관련\프로그램\SubnetSyncer\SSbackup"" wisf",1,134026478748912109
